Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
SOA,B,0.5,0.5,Human,Other Private,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,7
SOA,A,0.01,0.01,Human,Other Private,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,5
EOA,B,3.2,3.2,Human,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,9
EOA,B,1.8,1.8,Human,Small Woodlands,Morrow,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,10
EOA,A,0.1,0.1,Lightning,Small Woodlands,Crook,Reg Use Closure,Lvl 1 Fire Season Only,95,6
EOA,A,0.25,0.25,Human,Rural Residential,Klamath,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,99,6
SOA,A,0.01,0.01,Human,County,Linn,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,77,7
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
NOA,A,0.1,0.1,Human,Industrial,Polk,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,55,7
SOA,B,0.5,0.5,Lightning,Industrial,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
EOA,A,0,0,Human,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,7
SOA,A,0.01,0.01,Human,Industrial,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,72,7
SOA,A,0.25,0.25,Lightning,BLM,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,6
NOA,A,0.01,0.01,Human,Other Private,Clatsop,Permit Closure,Lvl 1 Fire Season Only,52,8
SOA,A,0.01,0.01,Human,State,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,7
NOA,A,0.01,0.01,Human,Small Woodlands,Columbia,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,53,7
EOA,A,0.01,0,Lightning,USFS,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,B,0.5,0.5,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,3
EOA,A,0.1,0.1,Lightning,Small Woodlands,Umatilla,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
EOA,A,0.1,0.1,Human,BLM,Grant,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
